Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$340,000",, 2,,153 Willow Bnd 60490,4.0,2.5,"2,186",,, 2, 1, 0, 0,,, 790," $7,387"

"Detached Single Family, 2 Stories",$25/month,2002,Bolingbrook,,"$375,000",, 3,,1205 Danhof Dr 60490,4.0,3,"3,214",,, 2, 2, 12, 10,,,," $8,919"

"Detached Single Family, 2 Stories",,1970,Bolingbrook,,"$165,100",, 2,,317 Robinhood Ct 60440,4.0,2.5,"1,895",,, 2, 1, 0, 0,,,," $6,451"

"Attached Single Family, Townhouse (2 Story)",$190/month,1978,Bolingbrook,,"$143,000",, 1,,24 Fernwood Dr 60440,3.0,1.5,"1,296",,, 1, 1, 0, 6,,,," $2,641.78"

"Detached Single Family, 2 Stories",$26/month,2005,Bolingbrook,,"$243,500",, 2,,1671 Apricot St 60490,4.0,2.5,"2,267",,, 2, 1, 16, 4,,,," $10,529"

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$224,900",, 2, BOLINGBROOK HIGH SCHOOL,213 Grant Dr 60440,4.0,2,"1,367",,, 2,, 10, 0,,,," $5,112"

"Detached Single Family, 2 Stories",$10/month,1989,Bolingbrook,,"$327,500",, 2, BOLINGBROOK HIGH SCHOOL,865 Tam O Shanter Cir 60440,6.0,4.5,"3,093",,, 4, 1, 6, 4,,,," $11,630.24"

"Detached Single Family, 2 Stories",,1981,Bolingbrook,,"$199,000",, 1, BOLINGBROOK HIGH SCHOOL,208 Aspen Dr 60440,3.0,1.5,"1,580",,, 1, 1, 6, 0,,,," $5,445"

"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$218,000",, 2,,315 Assembly Dr 60440,3.0,2,"1,900",,, 2,, 0, 0,,,," $5,509"

"Detached Single Family, 2 Stories",$29/month,2007,Bolingbrook,,"$415,000",, 3.5,,1818 Heather St 60490,5.0,3.5,"3,712",,, 3, 1, 20, 0,,, 1863," $11,956.68"

"Detached Single Family, 2 Stories",$13/month,2003,Bolingbrook,,"$380,000",, 3,,752 Lindsey Ln 60440,4.0,3.5,"5,000",,, 3, 1, 18, 6,,,," $12,564.52"

"Attached Single Family, Townhouse (2 Story)",$186/month,1973,Bolingbrook,,"$148,000",, 3,,137 Pamela Dr 60440,2.0,2.5,"1,320",,, 2, 1, 8, 0,,,," $3,586.80"

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$190,000",, 7.5,,152 Galewood Dr 60440,3.0,2,"1,596",,, 2,, 8, 0,,,," $3,962.66"

"Detached Single Family, Raised Ranch",,1970,Bolingbrook,,"$215,000",, 2,,148 Richmond Dr 60440,5.0,2,"2,100",,, 2,, 16, 0,,,," $5,842"

"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$227,500",, 2,,154 Wethersfield Ln 60440,3.0,2.5,"1,989",,, 2, 1, 0, 10,,,," $7,662"

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$180,000",, 2, BOLINGBROOK HIGH SCHOOL,254 Butternut Dr 60440,3.0,1.5,"1,642",,, 1, 1, 10, 0,,,," $4,942.32"

"Detached Single Family, Raised Ranch",,1970,Bolingbrook,,"$165,000",, 2,,226 Pacific Dr 60440,4.0,2,"1,350",,, 2,, 0, 0,,,," $3,995"

"Detached Single Family, Split-Level",,1999,Bolingbrook,,"$250,000",, 2,,637 Hillcrest Dr 60440,3.0,2,"1,701",,, 2,, 8, 0,,,," $6,307.58"

"Detached Single Family, 2 Stories",$46/month,2005,Bolingbrook,,"$312,000",, 2,,296 Claridge Cir 60440,4.0,2.5,"2,889",,, 2, 1, 8, 0,,,," $9,997.92"

"Detached Single Family, 2 Stories",$42/month,2004,Bolingbrook,,"$342,000",, 3, BOLINGBROOK HIGH SCHOOL,332 Claridge Cir 60440,4.0,2.5,"3,686",,, 2, 1, 16, 12,,,," $10,471"

"Detached Single Family, 1 Story",,1962,Bolingbrook,,"$200,000",, 2, Bolingbrook High School,105 Kingston Rd 60440,4.0,2,"1,372",,, 2,, 6, 0,,,," $4,764.46"

Single Family Residential,,1973,,,"$145,000",,,,325 Grand Canyon Dr 60440,,1,"1,451",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$25/month,2002,Bolingbrook,,"$248,000",, 2, PLAINFIELD EAST HIGH SCHOOL,786 Sapphire Dr 60490,3.0,2.5,"1,748",,, 2, 1, 8, 4,,,," $7,236.74"

"Detached Single Family, 2 Stories",$12/month,2002,Bolingbrook,,"$267,000",, 2, BOLINGBROOK HIGH SCHOOL,262 Clifton Ln 60440,3.0,2.5,"2,437",,, 2, 1, 14, 10,,, 1200," $10,576.66"

"Detached Single Family, 2 Stories",$25/month,2001,Bolingbrook,,"$382,000",, 3, PLAINFIELD EAST HIGH SCHOOL,2104 Mark Cir 60490,4.0,2.5,"4,094",,, 2, 1, 22, 4,,,," $10,250"

"Detached Single Family, Raised Ranch",,1976,Bolingbrook,,"$226,500",, 2,,236 Seneca Ct 60440,4.0,2,"1,768",,, 2,, 0, 0,,,," $4,757.34"

Other,,2007,,,"$180,000",,,,21 Emma Ct 60440,,2.5,"1,896",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",,2005,Bolingbrook,,"$399,900",, 2, BOLINGBROOK HIGH SCHOOL,219 Stonegate Rd 60440,5.0,3,"2,659",,, 2, 2, 8, 14,,,," $8,699"

"Detached Single Family, 2 Stories",,1973,Bolingbrook,,"$248,000",, 2,,595 Miner Dr 60440,4.0,2.5,"2,055",,, 2, 1, 10, 12,,,," $6,506"

"Detached Single Family, 1 Story",,1981,Bolingbrook,,"$175,000",, 2,,1051 Crestwood Ln 60440,3.0,1,"1,100",,, 1,, 2, 0,,,," $4,714"

"Detached Single Family, 2 Stories",,1980,Bolingbrook,,"$288,000",, 2, BOLINGBROOK HIGH SCHOOL,664 Gannet Dr 60440,4.0,2.5,"2,132",,, 2, 1, 14, 0,,,," $7,098"

"Detached Single Family, Split-Level",,1968,Bolingbrook,,"$156,000",, 2,,243 Meadowbrook Dr 60440,3.0,1,"1,348",,, 1,, 4, 0,,,," $3,694.18"

"Detached Single Family, 2 Stories",,1974,Bolingbrook,,"$250,000",, 2, BOLINGBROOK HIGH SCHOOL,549 Forest Way 60440,4.0,2.5,"2,002",,, 2, 1, 12, 0,,,," $7,109.16"

Condo,$250/month,2006,Bolingbrook,,"$375,000",, 2, PLAINFIELD EAST HIGH SCHOOL,1191 Betsy Ross Pl 60490,4.0,3,"2,172",,, 3,, 12, 0,,,," $8,330.56"

Single Family Residential,,1996,,,"$200,000",,,,446 Monarch Ln 60440,,4,"1,701",,,,, 0, 0,,,,

Condo,$203/month,2004,Bolingbrook,,"$175,000",, 2,,130 Enclave Cir 60440,2.0,1.5,"1,547",,, 1, 1, 4, 4,,,," $3,758.62"

"Attached Single Family, Townhouse (2 Story)",$171/month,1973,Bolingbrook,,"$181,000",, 2, BOLINGBROOK HIGH SCHOOL,500 Racine Ln 60440,2.0,2.5,"1,460",,, 2, 1, 6, 0,,,," $4,574.78"

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$260,000",, 2,,252 Tudor Ct 60440,3.0,2.5,"2,418",,, 2, 1, 0, 0,,,," $7,377.62"

"Detached Single Family, 2 Stories",$28/month,2003,Bolingbrook,,"$262,000",, 2, BOLINGBROOK HIGH SCHOOL,104 Forsythia St 60490,3.0,3.5,"1,775",,, 3, 1, 14, 0,,,," $10,131.64"

"Attached Single Family, Townhouse (2 Story)",$135/month,1972,Bolingbrook,,"$128,000",, 1, BOLINGBROOK HIGH SCHOOL,341 Ottawa Dr 60440,2.0,1.5,732,,, 1, 1, 0, 0,,,," $2,384.04"

"Attached Single Family, Townhouse (3+ Story)",,2007,Bolingbrook,,"$195,000",, 2,,18 Emma Ct 60440,4.0,3,"1,896",,, 2, 2, 8, 10,,,," $5,503.90"

"Attached Single Family, Townhouse (2 Story)",$145/month,1970,Bolingbrook,,"$148,000",, 2,,414 Yorkshire Sq 60440,3.0,1.5,"2,205",,, 1, 1, 6, 6,,,," $1,833.02"

"Detached Single Family, 2 Stories",,,Bolingbrook,,"$178,000",, 2,,225 Bedford Rd 60440,5.0,2,"1,916",,, 2,, 0, 0,,,," $5,133.20"

"Attached Single Family, Townhouse (2 Story)",$145/month,1970,Bolingbrook,,"$100,000",, 2, Bolingbrook High School,407 Yorkshire Sq 60440,2.0,1.5,"1,456",,, 1, 1, 6, 0,,, 728," $1,833.02"

"Detached Single Family, 2 Stories",,1969,Bolingbrook,,"$201,000",, 1, Bolingbrook High School,218 Northridge Ave 60440,3.0,1.5,"1,860",,, 1, 1, 0, 0,,,," $4,381.48"

"Detached Single Family, Split-Level with Sub-Basement",,1997,Bolingbrook,,"$227,500",, 2,,143 Steamboat Ln 60490,3.0,2,"1,650",,, 2,, 10, 8,,,," $7,087.68"

"Detached Single Family, 2 Stories",,2001,Bolingbrook,,"$221,000",, 2, BOLINGBROOK HIGH SCHOOL,1463 Basswood Dr 60490,3.0,2,"1,700",,, 2,, 4, 2,,,," $7,259.50"

"Detached Single Family, 2 Stories",,1989,Bolingbrook,,"$289,900",, 2,,209 Buli Ln 60490,3.0,2.5,"2,417",,, 2, 1, 8, 12,,,," $8,107.88"

"Attached Single Family, Townhouse (2 Story)",$177/month,1972,Bolingbrook,,"$165,000",, 1, BOLINGBROOK HIGH SCHOOL,204 Douglass Way 60440,2.0,2.5,"1,460",,, 2, 1, 4, 0,,,," $4,123.74"

Other,,1979,,,"$132,000",,,,476 Degas Cir 60440,,1.5,"1,171",,,,, 0, 0,,,,

Single Family Residential,,2001,,,"$259,000",,,,1606 Farmside Ln 60490,3.0,2.5,,,,,, 0, 0,,,,

Condo,$220/month,1997,Bolingbrook,,"$172,000",, 2, BOLINGBROOK HIGH SCHOOL,345 Magnolia Ct 60440,3.0,2.5,"1,732",,, 2, 1, 0, 6,,,," $3,479.40"

"Attached Single Family, Townhouse (2 Story)",$180/month,1991,Bolingbrook,,"$174,900",, 2,,350 Lakeview Cir 60440,2.0,2.5,"1,306",,, 2, 1, 0, 0,,,," $4,135"

Condo,$140/month,1993,Bolingbrook,,"$139,000",, 2,,309 Knollwood Ct 60440,2.0,1,882,,, 1,, 0, 0,,,," $2,824"

"Detached Single Family, 2 Stories",$12/month,2002,Bolingbrook,,"$228,500",, 2, BOLINGBROOK HIGH SCHOOL,327 Clarendon Ln 60440,4.0,2.5,"2,009",,, 2, 1, 8, 6,,,," $9,170"

"Attached Single Family, Townhouse (2 Story)",$139/month,1970,Bolingbrook,,"$143,000",, 2,,106 Somerset Ln 60440,4.0,1.5,"1,470",,, 1, 1, 0, 10,,,," $1,879.32"

"Detached Single Family, Split-Level",,1970,Bolingbrook,,"$180,000",, 1, Bolingbrook High School,245 Malibu Dr 60440,3.0,1.5,"1,558",,, 1, 1, 10, 0,,,," $4,524.02"

"Detached Single Family, 2 Stories",,2002,Bolingbrook,,"$245,000",, 2,,141 Sycamore Dr 60490,4.0,2.5,"2,800",,, 2, 1, 12, 0,,,," $8,454.60"

Condo,$145/month,1970,Bolingbrook,,"$147,000",, 2,,419 Providence Ct 60440,4.0,2.5,"1,610",,, 2, 1, 2, 14,,,," $1,879.32"

"Detached Single Family, Split-Level",,1970,Bolingbrook,,"$269,500",, 2, Bolingbrook High School,128 Concord Ln 60440,4.0,3,"2,050",,, 3,, 0, 14,,,," $6,929"

"Detached Single Family, 2 Stories",,2002,Bolingbrook,,"$311,000",, 3,,861 Bell Flower Ln 60440,4.0,2.5,"2,399",,, 2, 1, 22, 8,,,," $9,590"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$275,010",, 4, SOUTH HIGH SCHOOL,343 83rd St 60440,3.0,2.5,"1,885",,, 2, 1, 10, 8,,,," $7,460.32"

"Detached Single Family, Split-Level",,1973,Bolingbrook,,"$184,900",, 2,,350 Gehrig Cir 60440,3.0,1.5,"1,306",,, 1, 1, 8, 0,,,," $5,133"

"Attached Single Family, Townhouse (Ranch)",$170/month,1975,Bolingbrook,,"$138,000",, 2,,425 Raphael Cir 60440,2.0,2,"1,477",,, 2,, 10, 0,,,," $2,798.44"

"Detached Single Family, 1 Story",,1976,Bolingbrook,,"$190,000",, 2.5, ROMEOVILLE HIGH SCHOOL,343 Thistle Dr 60490,3.0,2,"1,450",,, 2,, 12, 0,,,," $4,585.52"

"Attached Single Family, Cluster",$166/month,,Bolingbrook,,"$113,000",, 2,,230 Dakota Ct 60440,2.0,1,"1,100",,, 1,, 4, 0,,,," $1,913.20"

"Detached Single Family, 2 Stories",$28/month,2003,Bolingbrook,,"$400,000",, 3, BOLINGBROOK HIGH SCHOOL,1495 Firethorn St 60490,4.0,3.5,"3,036",,, 3, 1, 0, 0,,,," $14,189.36"

"Detached Single Family, 1 Story",,1965,Bolingbrook,,"$187,000",, 2,,298 Seabury Rd 60440,3.0,2,"1,372",,, 2,, 8, 0,,,," $4,775.88"

"Detached Single Family, 2 Stories",$25/month,2004,Bolingbrook,,"$310,000",, 2,,7 Glenview Ct 60490,4.0,2.5,"2,773",,, 2, 1, 0, 0,,,," $7,914.96"

"Detached Single Family, 2 Stories",$33/month,,Bolingbrook,,"$315,000",, 2,,6 Allegheny Ct 60440,4.0,2.5,"2,970",,, 2, 1, 0, 20,,,," $11,330"

"Detached Single Family, 2 Stories",,,Bolingbrook,,"$314,900",, 3, BOLINGBROOK HIGH SCHOOL,1454 Shaman Dr 60490,4.0,2.5,"2,550",,, 2, 1, 8, 12,,,," $8,696"

"Attached Single Family, Townhouse (2 Story)",$385/month,1997,Naperville,,"$282,000",, 2, NAPERVILLE CENTRAL HIGH SCHOOL,1539 Orchard Cir 60565,3.0,3,"2,652",,, 3,, 10, 0,,,," $4,866.28"

"Attached Single Family, Ground Level Ranch",$223/month,2018,Bolingbrook,,"$356,039",, 2, PLAINFIELD EAST HIGH SCHOOL,1170 Mandalay Ln 60490,2.0,2,"1,785",,, 2,, 10, 0,,,,

"Detached Single Family, 2 Stories",,2006,Bolingbrook,,"$320,000",, 3, PLAINFIELD EAST HIGH SCHOOL,1914 Barrington Ave 60490,5.0,3.5,"4,200",,, 3, 1, 0, 0,,,," $13,798.44"

"Detached Single Family, Split-Level with Sub-Basement",$13/month,2002,Bolingbrook,,"$264,900",, 2,,1648 Prairieview Blvd 60490,3.0,2.5,"1,701",,, 2, 1, 14, 0,,,," $8,468.10"

"Detached Single Family, 2 Stories",,1997,Bolingbrook,,"$254,900",, 2.5, PLAINFIELD EAST HIGH SCHOOL,1 SPRINGBROOK CT 60490,3.0,2.5,"1,798",,, 2, 1, 14, 4,,,," $6,358.66"

"Attached Single Family, Townhouse (2 Story)",$120/month,1973,Bolingbrook,,"$160,000",, 2,,577 Sundance Dr 60440,3.0,1.5,"1,392",,, 1, 1, 10, 0,,,," $3,168"

"Detached Single Family, 2 Stories",$24/month,2005,Bolingbrook,,"$255,000",, 2, BOLINGBROOK HIGH SCHOOL,231 Boxwood St 60490,4.0,2.5,"2,470",,, 2, 1, 16, 4,,,," $10,453.82"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$240,000",, 2, Bolingbrook High School,637 Lakewood Farms Dr 60490,3.0,3.5,"1,695",,, 3, 1, 14, 0,,,," $7,045"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$225,000",, 2,,1440 Basswood Dr 60490,3.0,2.5,"1,528",,, 2, 1, 6, 0,,,," $6,906.66"

"Detached Single Family, 2 Stories",$24/month,2005,Bolingbrook,,"$225,000",, 2, BOLINGBROOK HIGH SCHOOL,255 S Cranberry St 60490,4.0,2.5,"2,178",,, 2, 1, 10, 2,,,," $10,217.56"

"Detached Single Family, 2 Stories",$13/month,2001,Bolingbrook,,"$270,000",, 3.5, Plainfield East High School,1540 Schumacher Dr 60490,3.0,2.5,"2,550",,, 2, 1, 14, 4,,, 1500," $9,819"

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$339,000",, 2, NEUQUA VALLEY HIGH SCHOOL,224 Jonathan Way 60490,5.0,3,"2,293",,, 3,, 12, 10,,, 1218," $7,721.64"

"Detached Single Family, Split-Level",,1973,Bolingbrook,,"$190,000",, 2, BOLINGBROOK HIGH SCHOOL,335 Ruth Cir 60440,3.0,1.5,,,, 1, 1, 2, 0,,,," $4,349.26"

"Detached Single Family, 2 Stories",$13/month,2004,Bolingbrook,,"$340,000",, 3, BOLINGBROOK HIGH SCHOOL,10 Arbury Ct 60440,5.0,4,"3,454",,, 4,, 10, 12,,,," $11,050.34"

"Detached Single Family, 2 Stories",,1998,Bolingbrook,,"$235,000",, 2,,535 Alcott Ln 60440,3.0,3.5,"1,689",,, 3, 1, 12, 0,,,," $6,565.30"

"Detached Single Family, 2 Stories",$8/month,2004,Bolingbrook,,"$295,000",, 3, BOLINGBROOK HIGH SCHOOL,398 Palmer Dr 60490,4.0,2.5,"2,900",,, 2, 1, 6, 18,,,," $10,327"

"Attached Single Family, Townhouse (2 Story)",$185/month,2001,Bolingbrook,,"$228,000",, 2, BOLINGBROOK HIGH SCHOOL,504 Goodwin Dr 60440,2.0,3.5,"1,890",,, 3, 1, 4, 0,,,," $5,928"

"Detached Single Family, Raised Ranch",,1971,Bolingbrook,,"$232,000",, 4,,4 Devon Ct 60440,3.0,2,"1,950",,, 2,, 14, 2,,,," $5,625.06"

"Detached Single Family, 2 Stories",$12/month,2003,Bolingbrook,,"$245,501",, 2,,230 Clifton Ln 60440,4.0,2.5,"2,351",,, 2, 1, 16, 0,,,," $9,632"

"Detached Single Family, 2 Stories",$18/month,2007,Bolingbrook,,"$385,000",, 3,,517 Sonoma Dr 60490,4.0,2.5,"4,323",,, 2, 1, 18, 2,,,," $13,647.48"

"Attached Single Family, Townhouse (2 Story)",$186/month,1972,Bolingbrook,,"$118,000",, 1,,580 Eric Way 60440,3.0,2.5,"1,320",,, 2, 1, 0, 0,,,," $4,037.84"

"Detached Single Family, 2 Stories",,1964,Bolingbrook,,"$239,900",, 1,,226 Seabury Rd 60440,3.0,3.5,"1,536",,, 3, 1, 0, 10,,,," $5,188"

"Attached Single Family, Townhouse (2 Story)",$216/month,2001,Bolingbrook,,"$204,500",, 2, BOLINGBROOK HIGH SCHOOL,1130 Coventry Ln 60440,2.0,2.5,"1,517",,, 2, 1, 10, 2,,,," $5,219.12"

"Attached Single Family, Ground Level Ranch",$223/month,2018,Bolingbrook,,"$276,250",, 2, PLAINFIELD EAST HIGH SCHOOL,1191 Mandalay Ln 60490,2.0,2,"1,700",,, 2,, 8, 0,,,,

"Attached Single Family, Ground Level Ranch",$223/month,2018,Bolingbrook,,"$304,129",, 2, PLAINFIELD EAST HIGH SCHOOL,1138 Mandalay Ln 60490,2.0,2,"1,700",,, 2,, 8, 0,,,,

"Detached Single Family, 2 Stories",$8/month,2004,Bolingbrook,,"$299,000",, 2, BOLINGBROOK HIGH SCHOOL,395 Palmer Dr 60490,4.0,2.5,"2,463",,, 2, 1, 10, 0,,,," $9,876"

"Detached Single Family, Raised Ranch",,1971,Bolingbrook,,"$215,500",, 2,,108 Friars Ct 60440,4.0,3,"2,092",,, 3,, 0, 4,,,," $5,616.44"

"Detached Single Family, 2 Stories",,1962,Bolingbrook,,"$220,500",, 2, BOLINGBROOK HIGH SCHOOL,538 Spruce Rd 60440,4.0,2.5,"1,937",,, 2, 1, 0, 0,,,," $5,256.86"

"Detached Single Family, 2 Stories",,2001,Bolingbrook,,"$250,000",, 2,,501 Charlestown Dr 60440,4.0,2,"1,608",,, 2,, 14, 4,,, 1038," $6,507.78"

"Detached Single Family, Split-Level",,1971,Bolingbrook,,"$216,000",, 2, BOLINGBROOK HIGH SCHOOL,144 Tamarack Dr 60440,4.0,2.5,,,, 2, 1, 12, 0,,,," $5,638"

Other,,2005,,,"$313,000",,,,260 Claridge Cir 60440,,2.5,"2,747",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$332,000",, 2,,217 Sparrow Ln 60490,5.0,2.5,"2,400",,, 2, 1, 12, 10,,,," $7,468"

"Attached Single Family, Townhouse (2 Story)",$137/month,1969,Bolingbrook,,"$110,000",, 2,,134 Jamestown Ln 60440,2.0,1,"1,071",,, 1,, 0, 0,,,," $1,847.10"

"Attached Single Family, Townhouse (2 Story)",$145/month,1968,Bolingbrook,,"$106,000",, 2,,107 Williamsburg Ln 60440,3.0,1.5,"1,232",,, 1, 1, 8, 0,,,, $826.90

"Attached Single Family, Townhouse (2 Story)",$139/month,1997,Bolingbrook,,"$135,000",, 2, BOLINGBROOK HIGH SCHOOL,365 Springmist Ct 60440,2.0,1.5,"1,200",,, 1, 1, 0, 0,,,," $2,985"

"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$241,000",, 2,,151 Camelot Way 60440,4.0,2.5,"2,092",,, 2, 1, 0, 14,,,," $5,541"

Other,,1996,,,"$342,000",,,,2 Yukon Ct 60490,4.0,2.5,"2,873",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",,1969,Bolingbrook,,"$211,427",, 2.5,,136 Newport Dr 60440,5.0,2.5,"2,315",,, 2, 1, 12, 6,,,," $5,680.88"

"Detached Single Family, 1 Story",,1970,Bolingbrook,,"$199,900",, 2,,157 S Schmidt Rd 60440,3.0,1.5,"1,600",,, 1, 1, 0, 0,,,," $5,251"

Single Family Residential,,1972,,,"$160,000",,,,205 Falconridge Way 60440,,1,"1,726",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",,1962,Bolingbrook,,"$155,000",, 1.5,,152 Oxford Rd 60440,4.0,2.5,"1,488",,, 2, 1, 10, 0,,,," $4,490"

"Attached Single Family, Townhouse (Ranch), Townhouse (2 Story)",$135/month,1971,Bolingbrook,,"$159,000",, 2,,450 Skokie Ln 60440,3.0,1.5,"1,300",,, 1, 1, 4, 0,,,," $3,607"

"Attached Single Family, Townhouse (2 Story)",$145/month,1985,Bolingbrook,,"$145,000",, 2, BOLINGBROOK HIGH SCHOOL,18 Fernwood Dr 60440,3.0,1.5,"1,254",,, 1, 1, 0, 0,,,," $2,783.44"

Condo,$145/month,1975,Bolingbrook,,"$105,000",, 2,,4 Fernwood Dr 60440,3.0,1.5,"1,314",,, 1, 1, 8, 0,,,," $3,179"

,,,,,"$2,950/mo",,,,1129 Partridge Ave 60490,4.0,3,"1,746",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$8/month,2004,Bolingbrook,,"$329,500",, 3,,1483 Misty Ln 60490,4.0,2.5,"2,778",,, 2, 1, 0, 6,,,," $12,635.62"

"Detached Single Family, Split-Level",,1977,Bolingbrook,,"$199,900",, 1,,435 Sioux Dr 60440,3.0,1.5,"1,441",,, 1, 1, 6, 8,,,," $4,896.94"

"Detached Single Family, 2 Stories",$29/month,2015,Bolingbrook,,"$350,000",, 3, PLAINFIELD EAST HIGH SCHOOL,2300 Pebblestone Way 60490,5.0,3.5,"2,638",,, 3, 1, 10, 14,,,," $8,269.34"

"Attached Single Family, Townhouse (2 Story)",$145/month,1968,Bolingbrook,,"$150,000",, 2,,416 Hallmark Ln 60440,4.0,1.5,"1,500",,, 1, 1, 10, 0,,,," $1,213.50"

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$199,208",, 2,,454 Bluebird Dr 60440,3.0,2.5,"1,816",,, 2, 1, 6, 4,,,," $6,067.48"

"Detached Single Family, Raised Ranch",,1977,Bolingbrook,,"$170,000",, 2, BOLINGBROOK HIGH SCHOOL,207 Chase Ct 60440,4.0,2,"1,135",,, 2,, 14, 0,,,," $4,027.10"

"Detached Single Family, 2 Stories",$28/month,2003,Bolingbrook,,"$279,900",, 2,,200 Lilac St 60490,4.0,3.5,"1,833",,, 3, 1, 8, 4,,,," $10,478.76"

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$210,000",, 2,,2 Derbyshire Ct 60440,4.0,2.5,,,, 2, 1, 0, 0,,,," $5,960.10"

"Detached Single Family, 2 Stories",$24/month,2004,Bolingbrook,,"$310,000",, 2, BOLINGBROOK HIGH SCHOOL,210 S Cranberry St 60490,4.0,2.5,"2,470",,, 2, 1, 14, 2,,,," $10,926.32"

"Detached Single Family, Raised Ranch",,1974,Bolingbrook,,"$215,000",, 2,,430 Faversham Ct 60440,3.0,2,"1,950",,, 2,, 0, 6,,,," $5,437.86"

"Detached Single Family, 1 Story",,1972,Bolingbrook,,"$157,000",, 2,,271 Butternut Dr 60440,3.0,1,"1,225",,, 1,, 0, 0,,,," $4,238"

"Detached Single Family, Raised Ranch",,1981,Bolingbrook,,"$280,000",, 2,,329 Trafalgar Ct 60440,5.0,3,"2,986",,, 3,, 10, 0,,,," $6,795.44"

"Detached Single Family, Raised Ranch",,1977,Bolingbrook,,"$181,500",, 1,,229 N Lancaster Dr 60440,3.0,1.5,"1,456",,, 1, 1, 6, 0,,,," $4,171.66"

"Attached Single Family, Townhouse (2 Story)",$150/month,1999,Bolingbrook,,"$200,000",, 2, BOLINGBROOK HIGH SCHOOL,514 Pinebrook Dr 60490,2.0,2.5,"1,484",,, 2, 1, 6, 0,,,," $5,563"

"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$282,400",, 2, BOLINGBROOK HIGH SCHOOL,427 Bradford Pl 60490,3.0,2.5,"2,200",,, 2, 1, 12, 4,,, 1000," $6,776"

"Attached Single Family, Townhouse (2 Story)",$177/month,1971,Bolingbrook,,"$136,000",, 3, BOLINGBROOK HIGH SCHOOL,127 Julie Rd 60440,3.0,2.5,"1,320",,, 2, 1, 10, 0,,,," $4,027.10"

"Detached Single Family, Split-Level",,1965,Bolingbrook,,"$226,000",, 1.5,,201 Andover Ct 60440,3.0,1.5,"1,550",,, 1, 1, 12, 0,,,," $4,596.26"

"Attached Single Family, Townhouse (2 Story)",$138/month,1971,Bolingbrook,,"$98,000",, 1, BOLINGBROOK HIGH SCHOOL,273 Navajo Dr 60440,3.0,1.5,"1,200",,, 1, 1, 12, 0,,,," $2,674"

"Detached Single Family, 2 Stories",,1988,Bolingbrook,,"$297,500",, 2, Bolingbrook High School,132 S Canyon Dr 60490,4.0,2.5,,,, 2, 1, 0, 0,,,," $5,712.16"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$260,000",, 2, Bolingbrook High School,269 Mallard Lndg 60440,5.0,2.5,"2,800",,, 2, 1, 16, 2,,,," $8,796"

"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$350,000",, 2, NAPERVILLE CENTRAL HIGH SCHOOL,644 Lavina Ct 60440,4.0,3,"2,440",,, 2, 2, 18, 4,,,," $9,232.42"

"Detached Single Family, 2 Stories",,2003,Bolingbrook,,"$420,000",, 3, NAPERVILLE CENTRAL HIGH SCHOOL,739 Crestview Dr 60440,4.0,2.5,"3,191",,, 2, 1, 12, 6,,, 1536," $13,047"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$337,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1844 Baldwin Way 60490,4.0,3,"2,293",,, 3,, 0, 0,,,," $7,727.74"

"Detached Single Family, 1 Story",,1974,Bolingbrook,,"$223,000",, 4,,610 Cochise Cir 60440,3.0,2,"1,656",,, 2,, 0, 14,,,," $5,337"

